"participant","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","collected_by"
"Sub107_ToD","1",15,5,8,0,"YA","Morning","Julia"
"Sub107_ToD","2",15,5,9,0,"YA","Morning","Julia"
"Sub107_ToD","3",16,4,7,0,"YA","Morning","Julia"
"Sub107_ToD","Overall",46,14,24,0,"YA","Morning","Julia"
"Sub108_ToD","1",17,3,8,0,"YA","Night","Julia"
"Sub108_ToD","2",18,2,8,1,"YA","Night","Julia"
"Sub108_ToD","3",20,0,7,0,"YA","Night","Julia"
"Sub108_ToD","Overall",55,5,23,1,"YA","Night","Julia"
"Sub109_ToD","1",8,12,8,0,"OA","Morning","Julia"
"Sub109_ToD","2",7,13,8,0,"OA","Morning","Julia"
"Sub109_ToD","3",11,9,8,0,"OA","Morning","Julia"
"Sub109_ToD","Overall",26,34,24,0,"OA","Morning","Julia"
"Sub110_ToD","1",17,3,8,0,"OA","Morning","Julia"
"Sub110_ToD","2",16,4,8,0,"OA","Morning","Julia"
"Sub110_ToD","3",16,4,8,0,"OA","Morning","Julia"
"Sub110_ToD","Overall",49,11,24,0,"OA","Morning","Julia"
"Sub111_ToD","1",18,2,8,0,"OA","Morning","Julia"
"Sub111_ToD","2",20,0,8,0,"OA","Morning","Julia"
"Sub111_ToD","3",20,0,8,0,"OA","Morning","Julia"
"Sub111_ToD","Overall",58,2,24,0,"OA","Morning","Julia"
"Sub112_ToD","1",19,1,8,0,"OA","Morning","Julia"
"Sub112_ToD","2",18,2,8,0,"OA","Morning","Julia"
"Sub112_ToD","3",18,2,8,0,"OA","Morning","Julia"
"Sub112_ToD","Overall",55,5,24,0,"OA","Morning","Julia"
"Sub113_ToD","1",19,1,8,0,"OA","Night","Julia"
"Sub113_ToD","2",19,1,8,0,"OA","Night","Julia"
"Sub113_ToD","3",18,2,8,0,"OA","Night","Julia"
"Sub113_ToD","Overall",56,4,24,0,"OA","Night","Julia"
"Sub114_ToD","1",17,3,7,1,"YA","Night","Julia"
"Sub114_ToD","2",17,3,9,0,"YA","Night","Julia"
"Sub114_ToD","3",18,2,7,0,"YA","Night","Julia"
"Sub114_ToD","Overall",52,8,23,1,"YA","Night","Julia"
"Sub115_ToD","1",14,6,8,0,"YA","Morning","Julia"
"Sub115_ToD","2",11,9,8,0,"YA","Morning","Julia"
"Sub115_ToD","3",10,10,8,0,"YA","Morning","Julia"
"Sub115_ToD","Overall",35,25,24,0,"YA","Morning","Julia"
"Sub116_ToD","1",18,2,8,0,"OA","Morning","Julia"
"Sub116_ToD","2",20,0,9,0,"OA","Morning","Julia"
"Sub116_ToD","3",20,0,6,1,"OA","Morning","Julia"
"Sub116_ToD","Overall",58,2,23,1,"OA","Morning","Julia"
"Sub117_ToD","1",16,4,8,0,"YA","Morning","Julia"
"Sub117_ToD","2",9,11,7,1,"YA","Morning","Julia"
"Sub117_ToD","3",17,3,8,0,"YA","Morning","Julia"
"Sub117_ToD","Overall",42,18,23,1,"YA","Morning","Julia"
"Sub118_ToD","1",13,7,7,1,"YA","Morning","Julia"
"Sub118_ToD","2",16,4,8,0,"YA","Morning","Julia"
"Sub118_ToD","3",16,4,8,0,"YA","Morning","Julia"
"Sub118_ToD","Overall",45,15,23,1,"YA","Morning","Julia"
"Sub119_ToD","1",17,3,7,1,"OA","Morning","Julia"
"Sub119_ToD","2",17,3,9,0,"OA","Morning","Julia"
"Sub119_ToD","3",19,1,7,0,"OA","Morning","Julia"
"Sub119_ToD","Overall",53,7,23,1,"OA","Morning","Julia"
"Sub120_ToD","1",15,5,8,0,"YA","Night","Julia"
"Sub120_ToD","2",13,7,7,1,"YA","Night","Julia"
"Sub120_ToD","3",13,7,6,2,"YA","Night","Julia"
"Sub120_ToD","Overall",41,19,21,3,"YA","Night","Julia"
"Sub121_ToD","1",12,8,8,0,"OA","Night","Julia"
"Sub121_ToD","2",11,9,8,0,"OA","Night","Julia"
"Sub121_ToD","3",14,6,6,2,"OA","Night","Julia"
"Sub121_ToD","Overall",37,23,22,2,"OA","Night","Julia"
"Sub122_ToD","1",11,9,8,0,"YA","Night","Julia"
"Sub122_ToD","2",8,12,8,0,"YA","Night","Julia"
"Sub122_ToD","3",3,17,7,1,"YA","Night","Julia"
"Sub122_ToD","Overall",22,38,23,1,"YA","Night","Julia"
"Sub123_ToD","1",12,8,8,0,"OA","Morning","Julia"
"Sub123_ToD","2",15,5,8,0,"OA","Morning","Julia"
"Sub123_ToD","3",16,4,8,0,"OA","Morning","Julia"
"Sub123_ToD","Overall",43,17,24,0,"OA","Morning","Julia"
"Sub124_ToD","1",20,0,8,0,"YA","Night","Julia"
"Sub124_ToD","2",20,0,8,0,"YA","Night","Julia"
"Sub124_ToD","3",20,0,8,0,"YA","Night","Julia"
"Sub124_ToD","Overall",60,0,24,0,"YA","Night","Julia"
"Sub125_ToD","1",12,8,8,0,"YA","Night","Maheria"
"Sub125_ToD","2",17,3,8,0,"YA","Night","Maheria"
"Sub125_ToD","3",15,5,8,0,"YA","Night","Maheria"
"Sub125_ToD","Overall",44,16,24,0,"YA","Night","Maheria"
"Sub126_ToD","1",11,9,8,0,"OA","Morning","Maheria"
"Sub126_ToD","2",9,11,7,2,"OA","Morning","Maheria"
"Sub126_ToD","3",14,6,5,2,"OA","Morning","Maheria"
"Sub126_ToD","Overall",34,26,20,4,"OA","Morning","Maheria"
"Sub127_ToD","1",15,5,7,1,"OA","Morning","Maheria"
"Sub127_ToD","2",17,3,7,1,"OA","Morning","Maheria"
"Sub127_ToD","3",15,5,8,0,"OA","Morning","Maheria"
"Sub127_ToD","Overall",47,13,22,2,"OA","Morning","Maheria"
"Sub128_ToD","1",17,3,8,0,"YA","Morning","Maheria"
"Sub128_ToD","2",15,5,9,0,"YA","Morning","Maheria"
"Sub128_ToD","3",18,2,7,0,"YA","Morning","Maheria"
"Sub128_ToD","Overall",50,10,24,0,"YA","Morning","Maheria"
"Sub129_ToD","1",14,6,8,0,"OA","Night","Maheria"
"Sub129_ToD","2",18,2,9,0,"OA","Night","Maheria"
"Sub129_ToD","3",16,4,7,0,"OA","Night","Maheria"
"Sub129_ToD","Overall",48,12,24,0,"OA","Night","Maheria"
"Sub130_ToD","1",16,4,8,0,"YA","Morning","Maheria"
"Sub130_ToD","2",15,5,8,0,"YA","Morning","Maheria"
"Sub130_ToD","3",16,4,8,0,"YA","Morning","Maheria"
"Sub130_ToD","Overall",47,13,24,0,"YA","Morning","Maheria"
"Sub131_ToD","1",12,8,8,0,"OA","Morning","Maheria"
"Sub131_ToD","2",14,6,8,0,"OA","Morning","Maheria"
"Sub131_ToD","3",16,4,8,0,"OA","Morning","Maheria"
"Sub131_ToD","Overall",42,18,24,0,"OA","Morning","Maheria"
"Sub132_ToD","1",16,4,7,1,"YA","Night","Maheria"
"Sub132_ToD","2",14,6,7,1,"YA","Night","Maheria"
"Sub132_ToD","3",14,6,7,1,"YA","Night","Maheria"
"Sub132_ToD","Overall",44,16,21,3,"YA","Night","Maheria"
"Sub133_ToD","1",16,4,7,1,"OA","Morning","Maheria"
"Sub133_ToD","2",16,4,9,0,"OA","Morning","Maheria"
"Sub133_ToD","3",20,0,7,0,"OA","Morning","Maheria"
"Sub133_ToD","Overall",52,8,23,1,"OA","Morning","Maheria"
"Sub134_ToD","1",17,3,7,1,"OA","Night","Maheria"
"Sub134_ToD","2",18,2,7,1,"OA","Night","Maheria"
"Sub134_ToD","3",19,1,8,0,"OA","Night","Maheria"
"Sub134_ToD","Overall",54,6,22,2,"OA","Night","Maheria"
"Sub135_ToD","1",13,7,8,0,"YA","Night","Maheria"
"Sub135_ToD","2",16,4,9,0,"YA","Night","Maheria"
"Sub135_ToD","3",16,4,7,0,"YA","Night","Maheria"
"Sub135_ToD","Overall",45,15,24,0,"YA","Night","Maheria"
"Sub136_ToD","1",20,0,8,0,"YA","Night","Maheria"
"Sub136_ToD","2",18,2,7,1,"YA","Night","Maheria"
"Sub136_ToD","3",20,0,8,0,"YA","Night","Maheria"
"Sub136_ToD","Overall",58,2,23,1,"YA","Night","Maheria"
"Sub137_ToD","1",19,1,8,0,"OA","Morning","Maheria"
"Sub137_ToD","2",18,2,8,0,"OA","Morning","Maheria"
"Sub137_ToD","3",17,3,8,0,"OA","Morning","Maheria"
"Sub137_ToD","Overall",54,6,24,0,"OA","Morning","Maheria"
"Sub138_ToD","1",17,3,8,0,"OA","Morning","Maheria"
"Sub138_ToD","2",19,1,9,0,"OA","Morning","Maheria"
"Sub138_ToD","3",19,1,7,0,"OA","Morning","Maheria"
"Sub138_ToD","Overall",55,5,24,0,"OA","Morning","Maheria"
"Sub139_ToD","1",20,0,6,2,"YA","Morning","Maheria"
"Sub139_ToD","2",18,2,8,1,"YA","Morning","Maheria"
"Sub139_ToD","3",12,8,7,0,"YA","Morning","Maheria"
"Sub139_ToD","Overall",50,10,21,3,"YA","Morning","Maheria"
"Sub140_ToD","1",18,2,7,1,"OA","Morning","Maheria"
"Sub140_ToD","2",18,2,6,2,"OA","Morning","Maheria"
"Sub140_ToD","3",19,1,7,1,"OA","Morning","Maheria"
"Sub140_ToD","Overall",55,5,20,4,"OA","Morning","Maheria"
"Sub141_ToD","1",16,4,7,1,"OA","Night","Maheria"
"Sub141_ToD","2",16,4,8,0,"OA","Night","Maheria"
"Sub141_ToD","3",17,3,8,0,"OA","Night","Maheria"
"Sub141_ToD","Overall",49,11,23,1,"OA","Night","Maheria"
"Sub142_ToD","1",20,0,8,0,"OA","Night","Maheria"
"Sub142_ToD","2",19,1,8,0,"OA","Night","Maheria"
"Sub142_ToD","3",20,0,8,0,"OA","Night","Maheria"
"Sub142_ToD","Overall",59,1,24,0,"OA","Night","Maheria"
"Sub143_ToD","1",19,1,8,0,"OA","Night","Maheria"
"Sub143_ToD","2",17,3,8,0,"OA","Night","Maheria"
"Sub143_ToD","3",17,3,6,2,"OA","Night","Maheria"
"Sub143_ToD","Overall",53,7,22,2,"OA","Night","Maheria"
"Sub144_ToD","1",18,2,8,0,"OA","Night","Maheria"
"Sub144_ToD","2",20,0,8,1,"OA","Night","Maheria"
"Sub144_ToD","3",19,1,6,1,"OA","Night","Maheria"
"Sub144_ToD","Overall",57,3,22,2,"OA","Night","Maheria"
"Sub145_ToD","1",18,2,8,0,"YA","Morning","Maheria"
"Sub145_ToD","2",14,6,8,0,"YA","Morning","Maheria"
"Sub145_ToD","3",17,3,8,0,"YA","Morning","Maheria"
"Sub145_ToD","Overall",49,11,24,0,"YA","Morning","Maheria"
"Sub146_ToD","1",19,1,8,0,"YA","Night","Maheria"
"Sub146_ToD","2",20,0,8,0,"YA","Night","Maheria"
"Sub146_ToD","3",18,2,8,0,"YA","Night","Maheria"
"Sub146_ToD","Overall",57,3,24,0,"YA","Night","Maheria"
"Sub147_ToD","1",12,8,8,0,"YA","Night","Maheria"
"Sub147_ToD","2",18,2,8,0,"YA","Night","Maheria"
"Sub147_ToD","3",14,6,8,0,"YA","Night","Maheria"
"Sub147_ToD","Overall",44,16,24,0,"YA","Night","Maheria"
"Sub148_ToD","1",17,3,8,0,"YA","Night","Maheria"
"Sub148_ToD","2",16,4,8,1,"YA","Night","Maheria"
"Sub148_ToD","3",20,0,7,0,"YA","Night","Maheria"
"Sub148_ToD","Overall",53,7,23,1,"YA","Night","Maheria"
"Sub149_ToD","1",16,4,8,0,"OA","Night","Maheria"
"Sub149_ToD","2",13,7,8,0,"OA","Night","Maheria"
"Sub149_ToD","3",15,5,7,1,"OA","Night","Maheria"
"Sub149_ToD","Overall",44,16,23,1,"OA","Night","Maheria"
"Sub150_ToD","1",18,2,7,1,"YA","Morning","Maheria"
"Sub150_ToD","2",17,3,8,0,"YA","Morning","Maheria"
"Sub150_ToD","3",20,0,8,0,"YA","Morning","Maheria"
"Sub150_ToD","Overall",55,5,23,1,"YA","Morning","Maheria"
"Sub151_ToD","1",17,3,7,1,"YA","Morning","Maheria"
"Sub151_ToD","2",17,3,8,1,"YA","Morning","Maheria"
"Sub151_ToD","3",15,5,5,2,"YA","Morning","Maheria"
"Sub151_ToD","Overall",49,11,20,4,"YA","Morning","Maheria"
"Sub152_ToD","1",8,12,8,0,"YA","Morning","Maheria"
"Sub152_ToD","2",4,16,7,2,"YA","Morning","Maheria"
"Sub152_ToD","3",3,17,7,0,"YA","Morning","Maheria"
"Sub152_ToD","Overall",15,45,22,2,"YA","Morning","Maheria"
